Name,Counrties,Headphone,earphone,Paper speakers,Bluetooth speaker,Cables,Nap Zappers,All
Hungary,Hungary,0,0,0,0,0,0,0
Indonesia,Indonesia,0,0,0,0,0,0,0
India,India,0,0,0,0,0,0,0
Ireland,Ireland,0,0,0,0,0,0,0
Iran,Iran,0,0,0,0,0,0,0
Iraq,Iraq,0,0,0,0,0,0,0
Iceland,Iceland,0,0,0,0,0,0,0
Israel,Israel,0,0,0,0,0,0,0
Jamaica,Jamaica,0,0,0,0,0,0,0
Jordan,Jordan,0,0,0,0,0,0,0
Japan,Japan,0,0,0,0,0,0,0
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0
Kenya,Kenya,0,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0
Cambodia,Cambodia,0,0,0,0,0,0,0
South Korea,South Korea,0,0,0,0,0,0,0
Kosovo,Kosovo,0,0,0,0,0,0,0
Kuwait,Kuwait,0,0,0,0,0,0,0
Laos,Laos,0,0,0,0,0,0,0
Lebanon,Lebanon,0,0,0,0,0,0,0
Liberia,Liberia,0,0,0,0,0,0,0
Libya,Libya,0,0,0,0,0,0,0
Sri Lanka,Sri Lanka,0,0,0,0,0,0,0
Lesotho,Lesotho,0,0,0,0,0,0,0
Lithuania,Lithuania,0,0,0,0,0,0,0
Luxembourg,Luxembourg,0,0,0,0,0,0,0
Latvia,Latvia,0,0,0,0,0,0,0
Morocco,Morocco,0,0,0,0,0,0,0
Moldova,Moldova,0,0,0,0,0,0,0
Madagascar,Madagascar,0,0,0,0,0,0,0
Macedonia,Macedonia,0,0,0,0,0,0,0
Mali,Mali,0,0,0,0,0,0,0
Myanmar,Myanmar,0,0,0,0,0,0,0
Montenegro,Montenegro,0,0,0,0,0,0,0
Mongolia,Mongolia,0,0,0,0,0,0,0
Mozambique,Mozambique,0,0,0,0,0,0,0
Mauritania,Mauritania,0,0,0,0,0,0,0
Malawi,Malawi,0,0,0,0,0,0,0
Malaysia,Malaysia,0,0,0,0,0,0,0
Namibia,Namibia,0,0,0,0,0,0,0
New Caledonia,New Caledonia,0,0,0,0,0,0,0
Niger,Niger,0,0,0,0,0,0,0
Nigeria,Nigeria,0,0,0,0,0,0,0
Nicaragua,Nicaragua,0,0,0,0,0,0,0
Netherlands,Netherlands,0,0,0,0,0,0,0
Norway,Norway,0,0,0,0,0,0,0
Nepal,Nepal,0,0,0,0,0,0,0
New Zealand,New Zealand,0,0,0,0,0,0,0
Oman,Oman,0,0,0,0,0,0,0
Pakistan,Pakistan,0,0,0,0,0,0,0
Panama,Panama,0,0,0,0,0,0,0
Philippines,Philippines,0,0,0,0,0,0,0
Papua New Guinea,Papua New Guinea,0,0,0,0,0,0,0
Poland,Poland,0,0,0,0,0,0,0
Puerto Rico,Puerto Rico,0,0,0,0,0,0,0
North Korea,North Korea,0,0,0,0,0,0,0
Portugal,Portugal,0,0,0,0,0,0,0
Paraguay,Paraguay,0,0,0,0,0,0,0
Qatar,Qatar,0,0,0,0,0,0,0
Romania,Romania,0,0,0,0,0,0,0
Russia,Russia,0,0,0,0,0,0,0
Rwanda,Rwanda,0,0,0,0,0,0,0
Western Sahara,Western Sahara,0,0,0,0,0,0,0
Saudi Arabia,Saudi Arabia,0,0,0,0,0,0,0
Sudan,Sudan,0,0,0,0,0,0,0
South Sudan,South Sudan,0,0,0,0,0,0,0
Senegal,Senegal,0,0,0,0,0,0,0
Solomon Islands,Solomon Islands,0,0,0,0,0,0,0
Sierra Leone,Sierra Leone,0,0,0,0,0,0,0
El Salvador,El Salvador,0,0,0,0,0,0,0
Somaliland,Somaliland,0,0,0,0,0,0,0
Somalia,Somalia,0,0,0,0,0,0,0
Republic of Serbia,Republic of Serbia,0,0,0,0,0,0,0
Suriname,Suriname,0,0,0,0,0,0,0
Slovakia,Slovakia,0,0,0,0,0,0,0
Slovenia,Slovenia,0,0,0,0,0,0,0
Sweden,Sweden,0,0,0,0,0,0,0
Swaziland,Swaziland,0,0,0,0,0,0,0
Syria,Syria,0,0,0,0,0,0,0
Chad,Chad,0,0,0,0,0,0,0
Togo,Togo,0,0,0,0,0,0,0
Thailand,Thailand,0,0,0,0,0,0,0
Tajikistan,Tajikistan,0,0,0,0,0,0,0
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0
East Timor,East Timor,0,0,0,0,0,0,0
Trinidad and Tobago,Trinidad and Tobago,0,0,0,0,0,0,0
Tunisia,Tunisia,0,0,0,0,0,0,0
Turkey,Turkey,0,0,0,0,0,0,0
Taiwan,Taiwan,0,0,0,0,0,0,0
United Republic of Tanzania,United Republic of Tanzania,0,0,0,0,0,0,0
Uganda,Uganda,0,0,0,0,0,0,0
Ukraine,Ukraine,0,0,0,0,0,0,0
Uruguay,Uruguay,0,0,0,0,0,0,0
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0
Venezuela,Venezuela,0,0,0,0,0,0,0
Vietnam,Vietnam,0,0,0,0,0,0,0
Vanuatu,Vanuatu,0,0,0,0,0,0,0
West Bank,West Bank,0,0,0,0,0,0,0
Yemen,Yemen,0,0,0,0,0,0,0
South Africa,South Africa,0,0,0,0,0,0,0
Zambia,Zambia,0,0,0,0,0,0,0
Zimbabwe,Zimbabwe,0,0,0,0,0,0,0
